year,country_name,hdi_category,indicator_name,reference,values
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,113
,Mongolia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,114
,Honduras,MEDIUM HUMAN DEVELOPMENT,HDI rank,,115
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,116
,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,117
,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,,118
,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,119
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,,120
,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,,121
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,122
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,123
,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,124
,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,125
,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,,126
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,127
,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,,128
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,,129
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,,130
,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,131
,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,132
,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,133
,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,,134
,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,135
,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,136
,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,,137
,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,,138
,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,139
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,,140
,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,,141
,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,,142
,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,143
,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,144
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,145
,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,146
,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,147
,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,,148
,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,149
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,,150
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,151
,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,152
,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,,153
,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,,154
,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,155
,Senegal,,HDI rank,,156
,Eritrea,,HDI rank,,157
,Nigeria,,HDI rank,,158
,Tanzania (United Republic of),,HDI rank,,159
,Guinea,,HDI rank,,160
,Rwanda,,HDI rank,,161
,Angola,,HDI rank,,162
,Benin,,HDI rank,,163
,Malawi,,HDI rank,,164
,Zambia,,HDI rank,,165
,Iceland,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Norway,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,4.0
,Australia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,13.6
,Canada,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,23.1
,Ireland,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,3.2
,Sweden,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,8.2
,Switzerland,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,6.3
,Japan,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,111.5
,Netherlands,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,13.7
,France,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,52.7
,Finland,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,4.7
,United States,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,220.2
,Spain,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,35.7
,Denmark,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,5.1
,Austria,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,7.6
,United Kingdom,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,56.2
,Belgium,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,9.8
,Luxembourg,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.4
,New Zealand,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,3.1
,Italy,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,55.4
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,4.4
,Germany,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,78.7
,Israel,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,3.4
,Greece,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,9.0
,Singapore,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.3
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,35.3
,Slovenia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.7
,Cyprus,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.6
,Portugal,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,9.1
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Barbados,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Czech Republic,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,10.0
,Kuwait,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.0
,Malta,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.3
,Qatar,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Hungary,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,10.5
,Poland,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,34.0
,Argentina,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,26.0
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.5
,Chile,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,10.4
,Bahrain,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.3
,Slovakia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,4.7
,Lithuania,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,3.3
,Estonia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.4
,Latvia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.5
,Uruguay,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.8
,Croatia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,4.3
,Costa Rica,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.1
,Bahamas,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Seychelles,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Cuba,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,9.4
,Mexico,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,60.7
,Bulgaria,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,8.7
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,(.)
,Tonga,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.5
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Oman,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.9
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.0
,Romania,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,21.2
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,7.3
,Panama,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.7
,Malaysia,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,12.3
,Belarus,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,9.4
,Mauritius,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,0.9
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,3.7
,Russian Federation,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,134.2
,Albania,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,2.4
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,1.7
,Brazil,HIGH HUMAN DEVELOPMENT,Total population (millions) 1975,,108.1
,Dominica,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,14.1
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,12.7
,Colombia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,25.3
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,49.0
,Samoa,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Thailand,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,42.2
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,5.3
,Belize,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,China,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,d,927.8
,Grenada,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Armenia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.8
,Turkey,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,41.2
,Suriname,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.4
,Jordan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.9
,Peru,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,15.2
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.7
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,6.9
,Philippines,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,42.0
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,5.7
,Fiji,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.6
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,33.3
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.8
,Georgia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,4.9
,Guyana,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.7
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,5.7
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,13.7
,Maldives,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.0
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.3
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,4.1
,Algeria,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,16.0
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,48.0
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.3
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,135.4
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,7.5
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.5
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.8
,Moldova,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,3.8
,Egypt,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,39.2
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,14.0
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.4
,Honduras,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,3.1
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,3.3
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,4.8
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,6.2
,Gabon,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.6
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,South Africa,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,25.7
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,3.4
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.1
,Botswana,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.8
,Namibia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.9
,Morocco,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,17.3
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,India,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,613.8
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.9
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,7.1
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,29.8
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.4
,Comoros,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.3
,Ghana,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,10.3
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,68.3
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.3
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.1
,Congo,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,1.5
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,79.0
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.5
,Nepal,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,13.5
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,7.9
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,7.8
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.9
,Haiti,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,5.1
,Sudan,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,16.8
,Kenya,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,13.5
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.2
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.7
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,6.2
,Togo,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,2.4
,Yemen,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,7.1
,Uganda,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,10.9
,Gambia,MEDIUM HUMAN DEVELOPMENT,Total population (millions) 1975,,0.6
,Senegal,,Total population (millions) 1975,,5.1
,Eritrea,,Total population (millions) 1975,,2.1
,Nigeria,,Total population (millions) 1975,,61.2
,Tanzania (United Republic of),,Total population (millions) 1975,,16.0
,Guinea,,Total population (millions) 1975,,4.0
,Rwanda,,Total population (millions) 1975,,4.4
,Angola,,Total population (millions) 1975,,6.8
,Benin,,Total population (millions) 1975,,3.2
,Malawi,,Total population (millions) 1975,,5.3
,Zambia,,Total population (millions) 1975,,5.0
,Iceland,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,0.3
,Norway,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,4.6
,Australia,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,20.3
,Canada,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,32.3
,Ireland,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,4.1
,Sweden,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,9.0
,Switzerland,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,7.4
,Japan,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,127.9
,Netherlands,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,16.3
,France,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,61.0
,Finland,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,5.2
,United States,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,299.8
,Spain,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,43.4
,Denmark,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,5.4
,Austria,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,8.3
,United Kingdom,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,60.2
,Belgium,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,10.4
,Luxembourg,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,0.5
,New Zealand,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,4.1
,Italy,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,58.6
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,7.1
,Germany,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,82.7
,Israel,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,6.7
,Greece,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,11.1
,Singapore,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,4.3
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,47.9
,Slovenia,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,2.0
,Cyprus,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,0.8
,Portugal,HIGH HUMAN DEVELOPMENT,Total population (millions)2005,,10.5
